Marca	Sku	Modelo	Color	Tipo
APPLE	APLIPH13ST128GB	APPLE IPHONE 13 128GB	BLANCO	SOLO
APPLE	APLIPH13MD128GB	APPLE IPHONE 13 128GB	NEGRO	SOLO
APPLE	APLIPH15BK128GB	APPLE IPHONE 15 128GB	NEGRO	SOLO
APPLE	APLIPH16BLACK128GB	APPLE IPHONE 16 128GB	NEGRO	SOLO
APPLE	APLIPH16WHT128GB	APPLE IPHONE 16 128GB	BLANCO	SOLO
APPLE	APLIPH16UMARINE128GB	APPLE IPHONE 16 128GB	AZUL	SOLO
APPLE	APLIPH16TEAL128GB	APPLE IPHONE 16 128GB	VERDE AZULADO	SOLO
APPLE	APLIPH16PROWHTI128GB	APPLE IPHONE 16 PRO 128GB	BLANCO	SOLO
APPLE	APLIPH16PROBKTI128GB	APPLE IPHONE 16 PRO 128GB	NEGRO	SOLO
APPLE	APLIPH16PRODSRT128GB	APPLE IPHONE 16 PRO 128GB	DORADO	SOLO
APPLE	APLIPH16PRONT128GB	APPLE IPHONE 16 PRO 128GB	GRIS	SOLO
APPLE	APLIPH16PRMXBKT256GB	APPLE IPHONE 16 PRO MAX 256GB	NEGRO	SOLO
APPLE	APLIPH16PRMXDST256GB	APPLE IPHONE 16 PRO MAX 256GB	DORADO	SOLO
APPLE	APLIPH16PRMXNT256GB	APPLE IPHONE 16 PRO MAX 256GB	GRIS	SOLO
APPLE	APLIPH16PRMXWHT256GB	APPLE IPHONE 16 PRO MAX 256GB	BLANCO	SOLO
APPLE	APLIPH16EBLACK128GB	APPLE IPHONE 16E 128GB	NEGRO	SOLO
APPLE	APLIPH16EWHITE128GB	APPLE IPHONE 16E 128GB	BLANCO	SOLO
APPLE	APLIPH17LAV256GB	APPLE IPHONE 17 256GB	MORADO	SOLO
APPLE	APLIPH17SGVD256GB	APPLE IPHONE 17 256GB	VERDE SALVIA	SOLO
APPLE	APLIPH17WHT256GB	APPLE IPHONE 17 256GB	BLANCO	SOLO
APPLE	APLIPH17BLACK256GB	APPLE IPHONE 17 256GB	NEGRO	SOLO
APPLE	APLIPH17MBL256GB	APPLE IPHONE 17 256GB	AZUL	SOLO
APPLE	APLIPH17PRONAR256GB	APPLE IPHONE 17 PRO 256GB	NARANJA	SOLO
APPLE	APLIPH17PRODBL256GB	APPLE IPHONE 17 PRO 256GB	AZUL	SOLO
APPLE	APLIPH17PROSLV256GB	APPLE IPHONE 17 PRO 256GB	PLATA	SOLO
APPLE	APLIPH17PRMXDBL256GB	APPLE IPHONE 17 PRO MAX 256GB	AZUL	SOLO
APPLE	APLIPH17PRMXNAR256GB	APPLE IPHONE 17 PRO MAX 256GB	NARANJA	SOLO
